,customer_lifetime_value,income,total_claim_amount,monthly_premium_auto
0,7.924622039528314,56274,384.811147,4.248495242049359
2,9.46408541669198,48767,566.472247,4.6913478822291435
3,8.942050623965066,0,529.881344,4.672828834461906
4,7.942608325018515,43836,138.130879,4.30406509320417
5,9.018852670134983,62902,159.383042,4.248495242049359
6,8.590796497218744,55350,321.6,4.219507705176107
7,8.884208532241303,0,363.02968,4.624972813284271
8,10.091149160012579,14072,511.2,4.276666119016055
9,8.90777178786511,28812,425.527834,4.543294782270004
10,8.463790731565343,0,482.4,4.219507705176107
11,9.01166954054113,0,528.0,4.709530201312334
12,9.082483932359322,77026,472.029737,4.709530201312334
13,9.08477929571055,99845,528.0,4.709530201312334
14,8.59145274700918,83689,307.139132,4.2626798770413155
15,8.917865415584348,24599,42.920271,4.174387269895637
16,7.8508311926907925,25049,454.245098,4.219507705176107
17,8.280518912280455,28855,647.442031,4.624972813284271
18,8.650207745627794,51148,308.981664,4.290459441148391
19,9.007442616043688,66140,484.8,4.624972813284271
20,7.963129905321957,57749,355.2,4.31748811353631
21,8.020530649686934,13789,379.2,4.382026634673881
22,10.091149160012579,14072,511.2,4.276666119016055
23,7.804329306236653,0,554.376763,4.30406509320417
24,7.780348172558573,17870,439.2,4.127134385045092
25,8.66614167376237,97541,389.185006,4.290459441148391
26,8.280805341551575,0,799.2,4.718498871295094
27,8.584462338997698,10511,516.237951,4.941642422609304
28,9.465258532119293,86584,532.8,4.718498871295094
29,8.082204665052508,75690,384.0,4.394449154672439
30,7.806119706484777,23158,322.294043,4.1588830833596715
31,9.850954337659516,65999,615.927769,5.472270673671475
32,8.458784398436832,0,308.15089,4.189654742026425
33,8.521162350472245,54500,302.4,4.1588830833596715
34,8.503888342142163,37260,15.437681,4.143134726391533
35,8.656125179909719,68987,204.475147,4.276666119016055
36,9.539121368839597,42305,561.6,4.770684624465665
37,8.90679672956167,65706,436.8,4.5217885770490405
38,8.036260975393798,0,648.0,4.51085950651685
39,7.833058513967653,53243,157.397849,4.204692619390966
40,7.883469642596301,0,484.318536,4.2626798770413155
41,7.927340605127341,50071,18.918935,4.276666119016055
42,8.278937619041942,60021,882.871945,4.605170185988092
43,9.4118826613082,43244,494.4,4.6443908991413725
44,7.801663446109687,92834,292.8,4.127134385045092
45,9.458769756183484,10105,0.517753,5.153291594497779
46,8.405034183178218,0,579.165954,4.30406509320417
47,8.615289308345947,23218,447.79344,4.276666119016055
48,8.11518470011884,0,529.624084,4.532599493153256
49,7.738696783512093,0,313.023175,4.143134726391533
50,10.510761609595535,24804,593.830288,4.653960350157523
51,10.418534736763368,33190,508.8,4.672828834461906
52,8.985248888298011,36014,173.956072,4.248495242049359
53,8.487917956161775,29834,307.2,4.174387269895637
54,8.365206210203958,16701,831.625979,4.736198448394496
55,8.877018543623395,46623,436.8,4.5217885770490405
56,8.938599336678521,64749,302.56519,4.174387269895637
57,8.28374746016473,0,484.8,4.624972813284271
58,8.41194228130706,16969,704.768111,4.8283137373023015
59,8.309077999973516,11621,518.4,4.6913478822291435
60,8.402705229063187,17622,312.0,4.189654742026425
61,9.001017515721037,11489,504.0,4.663439094112067
62,8.113955063645573,0,863.327324,4.553876891600541
63,10.096667351751666,66525,104.331355,4.61512051684126
64,8.797091093623512,0,676.391482,4.1588830833596715
65,7.983335536056751,33663,350.4,4.30406509320417
66,9.067992430064626,22547,537.6,4.727387818712341
67,9.362174306792394,61486,465.258644,4.584967478670572
68,8.831587833458713,0,456.0,4.564348191467836
69,9.369800629301807,29879,500.254235,4.634728988229636
70,10.027687059871845,93011,281.451042,4.736198448394496
71,7.869200738637002,65186,5.434505,4.189654742026425
72,7.804966221809587,26840,307.2,4.174387269895637
73,8.822067163089232,0,982.399613,4.653960350157523
74,8.512341749982163,75644,467.803638,4.189654742026425
75,9.05865722081119,38984,350.4,4.30406509320417
76,8.629299950475348,71811,29.03416,4.276666119016055
77,8.988505068657261,20961,321.6,4.219507705176107
78,9.334245943930911,38923,115.728852,4.605170185988092
79,10.97108297843054,61321,427.63121,5.231108616854587
80,8.990470127293706,0,25.807685,4.356708826689592
81,8.662363473105474,51066,787.993313,4.31748811353631
82,8.32349657030943,34378,489.6,4.634728988229636
83,7.833628016460301,43072,302.4,4.1588830833596715
84,8.788016408009884,25222,475.623251,4.51085950651685
85,8.949546521982136,36765,320.849072,4.204692619390966
86,8.687396514618081,23091,460.8,4.574710978503383
87,7.895238846726044,48269,282.151207,4.248495242049359
88,7.899592132576999,32720,321.6,4.219507705176107
89,8.707487077903625,20396,364.8,4.343805421853684
90,9.485849616772429,21513,679.827592,4.787491742782046
91,9.274054986608485,72540,631.743039,4.48863636973214
92,7.835442343665329,80744,11.879037,4.1588830833596715
93,7.890992538916655,52822,350.529033,4.219507705176107
94,8.578155456930505,0,863.3947,4.356708826689592
95,9.949759907301054,69738,492.127532,4.31748811353631
96,9.033168006791366,17780,132.588288,4.700480365792417
97,8.47692552302053,18107,297.6,4.143134726391533
98,8.656423399402241,57740,269.905129,4.31748811353631
99,8.710638642478585,32627,380.036697,4.343805421853684
100,8.987610276802203,0,513.6,4.68213122712422
101,7.781103172686219,0,425.266308,4.2626798770413155
102,8.468804705563269,65795,49.011099,4.143134726391533
103,8.373642866774112,60475,513.6,4.68213122712422
104,9.148861673496336,0,936.0,4.875197323201151
105,8.849039678162638,41837,142.062768,4.48863636973214
106,8.948334401403768,32303,45.152521,4.189654742026425
107,9.07320949743944,0,561.6,4.770684624465665
108,8.687737084347217,40531,30.567357,4.31748811353631
109,7.8054653701343035,79898,271.606799,4.143134726391533
110,8.810246561138381,56398,408.0,4.454347296253507
111,8.930261368140773,35257,470.4,4.59511985013459
112,9.047079849919548,27804,784.8,4.700480365792417
113,8.950856182089407,45506,316.8,4.204692619390966
114,10.089366740116995,65196,396.082036,4.219507705176107
115,8.894405558955544,0,489.6,4.634728988229636
116,8.470928044785195,20993,638.4,4.897839799950911
117,8.82577896050011,37839,465.633954,4.465908118654584
118,7.812289709155034,92711,368.400146,4.143134726391533
119,8.040744208553168,74665,236.902001,4.3694478524670215
120,8.000643072280408,0,582.679087,4.430816798843313
121,9.094226422058405,46833,64.109663,4.727387818712341
122,8.612584681187545,88768,326.4,4.23410650459726
123,9.617444042241184,28262,921.6,5.262690188904886
124,7.8280810092899475,33555,101.89645,4.1588830833596715
125,10.348902213898318,42780,542.4,4.736198448394496
126,8.050226045624893,58850,143.747794,4.3694478524670215
127,8.252824403613573,21880,424.077159,4.584967478670572
128,9.375133887091623,25251,316.8,4.204692619390966
129,8.96687526967568,0,2.704934,4.248495242049359
130,8.367952385573195,24188,523.2,4.700480365792417
131,8.69533551135291,41611,113.801497,4.31748811353631
132,8.643198755198862,28406,192.87572,4.290459441148391
133,8.462261569703966,69833,828.662719,4.77912349311153
134,8.990613432515858,0,532.8,4.31748811353631
135,8.30002264836872,0,975.107098,4.770684624465665
136,9.17152790543891,80536,53.798708,4.787491742782046
137,7.73007613088872,0,606.642452,4.1588830833596715
138,9.164707544977803,97732,289.9122,4.382026634673881
139,9.248556083168747,61222,392.604371,4.499809670330265
140,7.81242726265662,0,721.242206,4.31748811353631
141,8.634099132849027,50335,456.52385,4.948759890378168
143,8.808838948281888,63221,806.4,5.1298987149230735
144,8.22483475754387,0,460.8,4.574710978503383
145,8.205701986510553,64495,251.992083,4.532599493153256
146,8.978386782492917,0,345.6,4.290459441148391
147,8.519740260280539,28859,321.6,4.219507705176107
148,8.985853204914472,77330,99.257608,4.605170185988092
149,8.265253070544828,0,504.0,4.663439094112067
150,7.8862084546064475,24495,336.0,4.2626798770413155
151,9.055529100372882,95697,178.006524,4.68213122712422
152,8.494162511804886,26372,604.8,4.844187086458591
153,9.185464220908655,17514,8.312729,4.852030263919617
154,7.98859513509338,89270,316.599228,4.31748811353631
155,7.856362539112433,29757,312.0,4.189654742026425
156,8.165757573634966,51814,56.300724,4.532599493153256
157,9.184442920441281,24028,393.6,4.418840607796598
158,8.26220985273574,28142,701.708239,4.663439094112067
159,8.942497787579123,52705,128.705563,4.174387269895637
160,7.735694210081783,0,679.368378,4.1588830833596715
161,8.406579924629076,84903,497.126827,4.718498871295094
162,9.072906762454162,0,566.4,4.77912349311153
163,7.718440857721602,24910,347.857619,4.1588830833596715
164,8.911556545400474,0,554.4,4.356708826689592
165,8.958303264868684,21876,465.41477,4.23410650459726
166,8.849276080358514,0,496.8,4.248495242049359
167,8.354976010270201,0,292.8,4.127134385045092
168,9.892303571319168,70699,256.813837,4.418840607796598
169,9.968547780842096,0,355.2,4.31748811353631
170,7.789098276536132,27501,542.319401,4.1588830833596715
171,9.639837527232325,15897,303.148399,4.624972813284271
172,9.042863511874256,25141,25.438063,4.30406509320417
173,7.691950168821494,0,292.8,4.127134385045092
174,8.662363473105474,51066,787.993313,4.31748811353631
175,8.44268118275845,28358,84.024413,4.770684624465665
176,8.404323598182339,61846,215.8182,4.727387818712341
177,8.694354603701612,90972,232.926145,4.31748811353631
178,8.5367533063675,0,532.8,4.31748811353631
179,8.313272360314004,29549,710.433775,4.653960350157523
180,9.413575196429854,0,552.0,4.7535901911063645
182,8.495649884059173,21709,408.374746,4.143134726391533
183,9.204654718337068,67890,408.0,4.454347296253507
184,8.225995112786023,0,792.0,4.709530201312334
185,9.481780415147508,84311,532.8,4.718498871295094
186,8.428476527214151,99316,754.358929,4.74493212836325
187,8.607227763459697,54507,702.990032,4.9344739331306915
188,7.999626903667633,64586,206.837111,4.343805421853684
189,8.765921451957432,61709,275.395894,4.418840607796598
190,8.40738347896718,94656,459.738128,4.718498871295094
191,7.776841977296374,0,496.8,4.248495242049359
192,7.92497443653751,61085,336.0,4.2626798770413155
193,8.977286042872823,89284,321.6,4.219507705176107
194,8.837840584661308,0,302.4,4.1588830833596715
195,8.094132571036598,31686,430.994107,4.406719247264253
197,7.833027827702632,53703,67.632476,4.219507705176107
198,10.073530424283657,0,844.481918,4.574710978503383
199,8.707487077903625,20396,364.8,4.343805421853684
200,9.31841442585681,27679,722.486994,5.017279836814924
201,8.374491674803144,23904,590.4,4.820281565605037
202,7.937641771209866,65351,481.027516,4.248495242049359
204,8.213140756239516,0,669.682001,4.1588830833596715
206,7.981383625635913,64459,240.259479,4.290459441148391
207,9.616811154224546,32961,912.0,5.25227342804663
208,9.135426488593998,71416,556.8,4.762173934797756
209,8.744348504840989,68964,115.086827,4.3694478524670215
210,8.265559475768544,78108,470.4,4.59511985013459
211,8.386464167457543,10621,321.6,4.219507705176107
212,9.338405270761559,84910,383.167471,4.564348191467836
213,8.632656086961251,77493,307.963291,4.2626798770413155
214,7.977244935622643,81097,355.2,4.31748811353631
215,8.841698381286275,96610,520.364752,4.454347296253507
216,8.742520485747104,30110,466.436375,5.075173815233827
217,8.78023369625858,22081,451.670309,4.442651256490317
218,8.988246191879355,0,537.6,4.727387818712341
219,7.983070455828914,98473,345.6,4.290459441148391
220,8.694594826887856,97431,355.2,4.31748811353631
221,8.607794094508465,93870,331.2,4.248495242049359
222,8.638772862279007,50366,428.734656,4.290459441148391
223,8.759395933746346,34498,398.4,4.430816798843313
224,9.378796861425286,16552,494.4,4.6443908991413725
225,8.719661749046134,26787,369.6,4.356708826689592
226,8.548763512109977,0,831.752839,4.31748811353631
227,7.830263426607634,43860,156.124914,4.189654742026425
228,9.067579231514467,21474,373.428187,4.74493212836325
229,8.509557188008145,18174,395.934815,4.204692619390966
230,8.613437304605343,0,350.4,4.30406509320417
231,8.923785047438825,60920,231.201886,4.174387269895637
232,10.381919668026143,41520,289.904105,4.51085950651685
233,8.64083133473741,0,729.6,5.030437921392435
234,8.52966665372215,0,326.4,4.23410650459726
235,8.685041147326375,72208,350.4,4.30406509320417
236,9.627950084924855,53863,105.765111,4.1588830833596715
237,9.28247784840634,66446,639.464548,4.919980925828125
238,7.626386715773094,0,292.8,4.127134385045092
239,7.810533066886547,64997,383.442328,4.1588830833596715
240,8.583752418364451,64460,316.8,4.204692619390966
241,9.002187530283535,46618,99.085943,4.219507705176107
242,8.435172647981075,0,307.2,4.174387269895637
243,8.765581098029154,49988,566.935022,4.442651256490317
244,7.773818888116233,0,436.8,4.5217885770490405
245,8.074670873396938,16269,412.8,4.465908118654584
246,8.536117445212202,72006,307.2,4.174387269895637
247,10.156433688801647,0,388.8,4.406719247264253
249,8.992896884388161,44320,321.6,4.219507705176107
250,8.294679216377288,19782,773.470977,4.6913478822291435
251,9.723590074687323,63933,424.883448,4.2626798770413155
252,9.05314970170679,28224,523.2,4.700480365792417
253,8.962688027644498,21073,508.8,4.672828834461906
254,8.71829673522239,63243,364.240307,4.356708826689592
255,8.470928044785195,20993,638.4,4.897839799950911
256,9.303839420854406,94827,354.729129,4.912654885736052
257,8.518245401249262,39161,283.995953,4.1588830833596715
258,9.489791950898887,37534,403.2,4.442651256490317
259,7.872575352443043,80210,20.543176,4.189654742026425
260,9.789265419023115,0,385.115437,4.143134726391533
261,8.538389323216215,30110,140.165035,4.174387269895637
262,9.794320050046615,21708,326.4,4.23410650459726
